strategy_key,strategy_label,score_lookback,r20_min,er20_min,entry_rule,exit_rule,entry_year,year_basis,year_period_start,year_period_end,first_entry_date,last_entry_date,first_exit_date,last_exit_date,is_partial_year,is_full_calendar_year,completed_trades,winning_trades,losing_trades,flat_trades,gross_profit,gross_loss_abs,sum_trade_returns,avg_trade_return,median_trade_return,profit_factor,win_rate,p10_trade_return,worst_trade_return,best_trade_return,avg_holding_days
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2017,entry_year,2017-04-10,2017-12-31,2017-04-12,2017-12-29,2017-04-20,2018-03-13,True,False,791,359,432,0,10.899703702833786,5.327912612458224,5.571791090375563,0.007043983679362279,-0.0015260545772461925,2.0457737383580725,0.4538558786346397,-0.019924103545807648,-0.22516793507136978,0.1676912791019527,21.788874841972188
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2018,entry_year,2018-01-01,2018-12-31,2018-01-02,2018-12-31,2018-01-10,2019-04-01,False,True,707,238,469,0,5.114733332742805,7.931195020151806,-2.8164616874090016,-0.00398367989732532,-0.005829608659184358,0.6448881057327609,0.33663366336633666,-0.02917141567268835,-0.15255761048354932,0.07298943468631913,18.86845827439887
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2019,entry_year,2019-01-01,2019-12-31,2019-01-02,2019-12-31,2019-01-10,2020-03-11,False,True,1230,728,502,0,15.45633594265115,7.306459967428691,8.149875975222459,0.006625915427010129,0.0037851817216032497,2.1154342884999866,0.591869918699187,-0.0204520934693893,-0.08013607696177394,0.3551431158971621,23.63658536585366
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2020,entry_year,2020-01-01,2020-12-31,2020-01-03,2020-12-31,2020-01-03,2021-03-15,False,True,840,359,481,0,20.528449513507095,17.475851839593755,3.0525976739133402,0.003634044849896834,-0.004295624623408155,1.1746751861901972,0.42738095238095236,-0.0657398999401997,-0.17327872011222056,1.49908775645647,21.589285714285715
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2021,entry_year,2021-01-01,2021-12-31,2021-01-04,2021-12-31,2021-01-11,2022-01-24,False,True,1036,328,708,0,7.646315082569433,13.491845065345743,-5.84552998277631,-0.005642403458278292,-0.008410663339041722,0.5667360576359752,0.3166023166023166,-0.03429528178806851,-0.2024105143233219,0.16998314765993694,15.298262548262548
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2022,entry_year,2022-01-01,2022-12-31,2022-01-04,2022-12-28,2022-01-07,2023-03-03,False,True,819,140,679,0,4.077131299543525,15.915276518507598,-11.838145218964073,-0.0144543897667449,-0.017169857951844225,0.25617722034564083,0.17094017094017094,-0.041863835051123635,-0.09791846779062219,0.196676579684546,14.181929181929181
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2023,entry_year,2023-01-01,2023-12-31,2023-01-06,2023-12-29,2023-01-19,2024-04-01,False,True,1227,711,516,0,25.27806474607087,8.015496345434554,17.262568400636315,0.014068922901904087,0.006521976626350902,3.153649338318105,0.5794621026894865,-0.021860226237319112,-0.09275908566173963,0.4741119578784392,23.395273023634882
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2024,entry_year,2024-01-01,2024-12-31,2024-01-03,2024-12-18,2024-01-11,2025-03-12,False,True,1677,586,1091,0,17.043790929980982,18.891516303201943,-1.8477253732209606,-0.0011018040388914494,-0.007533419014249641,0.9021928497657021,0.3494335122242099,-0.02828299133768215,-0.10066667319528044,0.3095459621897423,19.269528920691712
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2025,entry_year,2025-01-01,2025-12-31,2025-01-02,2025-12-31,2025-01-24,2026-03-30,False,True,1802,757,1045,0,27.229189548774364,16.55171556617723,10.677473982597137,0.005925346272251463,-0.0030862043626327922,1.6450977205297153,0.4200887902330744,-0.027560148685735007,-0.17324613871734695,0.42644183700815375,20.85682574916759
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low10,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low10 trailing,10,-0.02,0.05,breakout_5d_after_signal,low10,2026,entry_year,2026-01-01,2026-07-15,2026-01-05,2026-07-15,2026-01-20,2026-07-21,True,False,919,357,562,0,16.172660875270893,13.233027844164797,2.939633031106098,0.0031987301753058734,-0.005397472407043134,1.2221436443513831,0.38846572361262244,-0.03677149881073263,-0.14259763554883842,0.5355096418231113,18.632208922742112
