signal_key,signal_label,entry_key,entry_label,signal_params,description,signals,avg_fwd_1d,median_fwd_1d,win_rate_1d,avg_fwd_3d,median_fwd_3d,win_rate_3d,avg_fwd_5d,median_fwd_5d,win_rate_5d,avg_fwd_10d,median_fwd_10d,win_rate_10d,avg_fwd_20d,median_fwd_20d,win_rate_20d,avg_mfe_20d,median_mfe_20d,avg_mae_20d,median_mae_20d
score_bo_l20_rp000_erp010,Score BO L20 R20>=0.00 ER20>=0.10,signal_3d_confirm,Signal 3D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",411,-0.00032554567918968133,-0.00024212384163546652,0.46472019464720193,-0.0022398352394399396,0.0003965197919946206,0.5182481751824818,0.00033557728856060053,0.0023829273617338442,0.5804878048780487,0.0041054017004141605,0.00440159288160058,0.6121951219512195,0.01621579681199557,0.004146896794163135,0.5817174515235457,0.04657120976136281,0.033131029098979026,-0.029484890575530002,-0.01673139323781525
score_bo_l20_rp000_erp010,Score BO L20 R20>=0.00 ER20>=0.10,breakout_5d_after_signal,5D breakout after signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: 첫 signal 이후 5거래일 안에 종가가 직전 5일 고점을 돌파하면 다음 거래일 open에 진입합니다.",1083,-0.0009760312204803253,-0.0007307012418577008,0.41089566020313945,0.0012860010183858676,0.0016092407118346586,0.5883441258094357,0.0013450325078341627,0.001589090025433837,0.5816326530612245,0.004497715334672075,0.001147965175816834,0.5256290773532153,0.024087677021073173,0.014083221829788939,0.6536016949152542,0.04300229058480978,0.027968431805475813,-0.02778619280195122,-0.01815217849763673
score_bo_l20_rp000_erp015,Score BO L20 R20>=0.00 ER20>=0.15,first_signal,First signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal이 FALSE에서 TRUE로 처음 바뀐 날을 확인하고 다음 거래일 open에 진입합니다.",2260,0.0005993000359548025,0.0004149274383390411,0.5411504424778761,0.0018219410791410282,0.0006324474495003063,0.5461811722912966,0.0027596813296530283,0.0021374216273428726,0.6265006669630947,0.006264017157043779,0.0018766948627628732,0.5736677115987461,0.020809938178235572,0.010965002241438815,0.6651090342679128,0.03982835725183667,0.02734618052326243,-0.024537372105745615,-0.0157384351345648
score_bo_l20_rp000_erp015,Score BO L20 R20>=0.00 ER20>=0.15,signal_2d_confirm,Signal 2D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 2거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",1086,-0.0015072291020692269,-0.001129375390670817,0.36556169429097607,0.0014096404604409384,0.0021792974967300704,0.5893186003683242,0.0006439181538923751,0.001830414886691667,0.5732718894009217,0.0034950101779718315,0.0012275918669001351,0.5396678966789668,0.01866082566926566,0.00989819126670266,0.6210191082802548,0.040546407036406336,0.027199040162196986,-0.027778450501667815,-0.017642062643063505
score_bo_l20_rp000_erp015,Score BO L20 R20>=0.00 ER20>=0.15,signal_3d_confirm,Signal 3D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",393,-0.0005319911878976588,-0.0002474219641415143,0.46055979643765904,-0.002628745886685563,0.0003965197919946206,0.5190839694656488,1.3447214590156066e-06,0.0023829273617338442,0.5816326530612245,0.0036057425303549612,0.004380219367576266,0.6096938775510204,0.01646058400151989,0.004446648261455355,0.5902578796561605,0.047187399206171536,0.03364748945561491,-0.03021408641980541,-0.017236133729758518
score_bo_l20_rp000_erp015,Score BO L20 R20>=0.00 ER20>=0.15,breakout_5d_after_signal,5D breakout after signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.15, ""family"": ""score_breakout"", ""r20_min"": 0.0, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: 첫 signal 이후 5거래일 안에 종가가 직전 5일 고점을 돌파하면 다음 거래일 open에 진입합니다.",1016,-0.0008646894545616268,-0.0006748381348847254,0.4124015748031496,0.0017501773921979617,0.0021082878981999453,0.6147783251231527,0.0015924024547077768,0.0020930775012348857,0.5938735177865613,0.004938306473043454,0.0015254088750320527,0.5422045680238332,0.024983952051650493,0.015514746175513627,0.6637069922308546,0.04467024023886438,0.02964190758345464,-0.028054109901955254,-0.017898042869657904
score_bo_l20_rp002_erp005,Score BO L20 R20>=0.02 ER20>=0.05,first_signal,First signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal이 FALSE에서 TRUE로 처음 바뀐 날을 확인하고 다음 거래일 open에 진입합니다.",1943,0.0007026594408672118,0.0010440433847940245,0.5579001544004117,0.002074164753597423,0.0014488682609022918,0.5283797729618163,0.002983070030299655,0.0037195841257899875,0.614352090862158,0.007282677555202393,0.004876535705194529,0.5772230889235569,0.022636793864650905,0.01699714864086732,0.6681792399319342,0.04695430467871436,0.034515240086145926,-0.028980672453224304,-0.021945932025689174
score_bo_l20_rp002_erp005,Score BO L20 R20>=0.02 ER20>=0.05,signal_2d_confirm,Signal 2D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 2거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",1000,-0.0017211038417151746,-0.0018109821085424693,0.364,0.001458457994834014,0.003488405610089007,0.583,0.0008027544164680323,0.0036831907076564363,0.5817452357071213,0.003972320229299237,0.0021362990470830123,0.5426278836509528,0.01976258155753861,0.014212629275957123,0.6263982102908278,0.04481369584238935,0.03154550629812114,-0.03083440172748595,-0.02304560472100381
score_bo_l20_rp002_erp005,Score BO L20 R20>=0.02 ER20>=0.05,signal_3d_confirm,Signal 3D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",372,-0.0004189821560933282,-0.0002010571662742766,0.48655913978494625,-0.0026519476528222073,0.0005074165342675574,0.5080645161290323,0.00020129700419229638,0.004342764220378714,0.5752688172043011,0.004273438586548524,0.007014372816867787,0.6075268817204301,0.017252116582031782,0.004464488404732236,0.5783132530120482,0.05009816866589288,0.03467583009956321,-0.03198153578526161,-0.020386361865611324
score_bo_l20_rp002_erp005,Score BO L20 R20>=0.02 ER20>=0.05,breakout_5d_after_signal,5D breakout after signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.05, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: 첫 signal 이후 5거래일 안에 종가가 직전 5일 고점을 돌파하면 다음 거래일 open에 진입합니다.",927,-0.0009916079304420212,-0.0011866965618215763,0.42179072276159657,0.001856227046769367,0.0034325315663874534,0.5976267529665588,0.0019439641536637545,0.003668563479912512,0.5950323974082073,0.0056219380413329734,0.0029962255835096485,0.5460455037919827,0.026463254522946206,0.01991859769004667,0.6608594657375145,0.04945309708769538,0.03374644717561992,-0.031090457893893603,-0.0231015688105487
score_bo_l20_rp002_erp010,Score BO L20 R20>=0.02 ER20>=0.10,first_signal,First signal,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal이 FALSE에서 TRUE로 처음 바뀐 날을 확인하고 다음 거래일 open에 진입합니다.",1935,0.0007280065971310123,0.0010698292639828022,0.5586563307493541,0.002076173168622489,0.0015018076920881862,0.5300518134715025,0.0031002551313284335,0.0037299704545250556,0.616381544841887,0.007469530209254238,0.004951320070057941,0.57911227154047,0.023062630327109736,0.017281788460161263,0.6698918611269209,0.04697118545664554,0.034513909162071865,-0.028617114168717872,-0.021927963955082785
score_bo_l20_rp002_erp010,Score BO L20 R20>=0.02 ER20>=0.10,signal_2d_confirm,Signal 2D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 2거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",997,-0.0017377511966333078,-0.0018104149273693304,0.3640922768304915,0.0014256756429003778,0.0034834326980592856,0.5827482447342026,0.0007122746542788872,0.003668563479912512,0.5804828973843058,0.003928537930523892,0.0018062331563680756,0.5412474849094567,0.019753453116914784,0.014212629275957123,0.6266816143497758,0.04476204983134757,0.03153476689784185,-0.030828073517276386,-0.023012512055863077
score_bo_l20_rp002_erp010,Score BO L20 R20>=0.02 ER20>=0.10,signal_3d_confirm,Signal 3D confirm,"{""close_filter"": ""close > ma50"", ""er20_min"": 0.1, ""family"": ""score_breakout"", ""r20_min"": 0.02, ""score_lookback"": 20}","Signal: Score breakout signal. Score가 직전 lookback 거래일 고점을 돌파하고, R20/ER20 최소 조건과 close > MA50 조건을 만족할 때 TRUE입니다. Score는 0.65*TE63 + 0.35*TE126이며, TE는 return과 efficiency ratio를 곱한 trend-energy 지표입니다. Entry: Signal TRUE가 3거래일 연속 유지된 날을 확인하고 다음 거래일 open에 진입합니다.",371,-0.00039874849584467466,-0.0002121404322182885,0.48517520215633425,-0.0026418200166711914,0.0004758140383958054,0.5067385444743935,0.00016278654670934294,0.0044695901810272165,0.5741239892183289,0.0041769366970371554,0.006717941468735056,0.6064690026954178,0.01729111547513467,0.004482328548009118,0.5800604229607251,0.050150087852046686,0.03467762191858803,-0.03201397125725538,-0.020320774916745332
