strategy_key,threshold_percent,episode_count,mean_crash_loss_capture,median_crash_loss_capture,worst_crash_loss_capture,mean_relative_crash_protection,worst_relative_crash_protection,mean_strategy_crash_maximum_drawdown,worst_strategy_crash_maximum_drawdown,mean_exposure_at_onset,mean_exposure_after_10d,mean_10d_exposure_reduction,mean_days_to_exposure_below_50pct,proportion_positive_strategy_return,proportion_loss_less_than_half_spy,proportion_recovered_before_spy
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,10,5,0.342734048868,0.289709140288,0.6488700351,0.101214230162,0.0136134061384,-0.0923180295059,-0.229069476071,0.958194961449,0.895177960867,0.0630170005818,29.6666666667,0.6,0.6,0.4
score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,10,5,0.401225373987,0.364121549934,0.834265833978,0.0940395144773,0.0116049676423,-0.0952936859663,-0.235366339665,0.954452780543,0.924762326005,0.0296904545382,99,0.6,0.6,0.4
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,10,5,0.251578535741,0.244689499194,0.504664737586,0.110396708989,0.0226670380062,-0.086385345805,-0.220543883481,0.925524269526,0.910258508406,0.0152657611198,42,0.6,0.8,0.6
score_bo_l40_rp000_erp005__signal_3d_confirm__low20,10,5,0.37864402659,0.301866125243,0.816262938755,0.0954502208787,0.0136134061384,-0.0944971152762,-0.246696258338,0.958194961449,0.895295901808,0.0628990596409,58.3333333333,0.6,0.6,0.4
score_bo_l40_rp000_erp005__signal_3d_confirm__low20_minus_0_5atr,10,5,0.443090943893,0.371628136174,1.03608709727,0.0872127265773,-0.0061117569539,-0.0982258888187,-0.25681596202,0.954452780543,0.924762326005,0.0296904545382,99,0.6,0.6,0.4
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,10,5,0.276387329334,0.244613479544,0.628784725198,0.106358700124,0.0226670380062,-0.0873259362843,-0.236313427811,0.925524269526,0.910258508406,0.0152657611198,42,0.6,0.8,0.6
score_bo_l40_rp000_erp010__signal_3d_confirm__low20,10,5,0.401771391263,0.297599495886,0.936166391477,0.0913109022694,0.0108109415919,-0.0987785343919,-0.266715933077,0.958194961449,0.895237744472,0.062957216977,47.3333333333,0.6,0.6,0.4
score_bo_l40_rp000_erp010__signal_3d_confirm__low20_minus_0_5atr,10,5,0.461294717611,0.368768795803,1.12996530623,0.0839222302352,-0.0220110905075,-0.102226003671,-0.275692927523,0.954452780543,0.924762326005,0.0296904545382,99,0.6,0.6,0.4
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,10,5,0.286602016379,0.24757696618,0.67689467379,0.104499966805,0.0226670380062,-0.0898049216047,-0.244131696232,0.925524269526,0.910258508406,0.0152657611198,42,0.6,0.8,0.4
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,10,5,0.342734048868,0.289709140288,0.6488700351,0.101214230162,0.0136134061384,-0.0923180295059,-0.229069476071,0.958194961449,0.895177960867,0.0630170005818,29.6666666667,0.6,0.6,0.4
score_bo_l40_rp000_erp015__signal_3d_confirm__low20_minus_0_5atr,10,5,0.401225373987,0.364121549934,0.834265833978,0.0940395144773,0.0116049676423,-0.0952936859663,-0.235366339665,0.954452780543,0.924762326005,0.0296904545382,99,0.6,0.6,0.4
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,10,5,0.251578535741,0.244689499194,0.504664737586,0.110396708989,0.0226670380062,-0.086385345805,-0.220543883481,0.925524269526,0.910258508406,0.0152657611198,42,0.6,0.8,0.6
score_bo_l40_rp002_erp005__signal_3d_confirm__low20,10,5,0.526874975183,0.675661994978,0.963487176539,0.0754031054569,0.00618385848647,-0.148064799916,-0.346880029549,0.88061240249,0.746286710027,0.134325692463,18,0.6,0.4,0.2
score_bo_l40_rp002_erp005__signal_3d_confirm__low20_minus_0_5atr,10,5,0.600135813609,0.721067694598,1.28273429432,0.0669602211892,-0.0478842417434,-0.138206998853,-0.312538507408,0.893120365368,0.982568523103,-0.0894481577352,39.5,0.8,0.4,0.2
score_bo_l40_rp002_erp005__signal_3d_confirm__ma50,10,5,0.39066661858,0.47150752905,0.661895024437,0.0926781670673,0.0198230691712,-0.133807309614,-0.306735256752,0.868724564176,0.945817855104,-0.0770932909283,26.6666666667,0.6,0.6,0.4
score_bo_l40_rp002_erp010__signal_3d_confirm__low20,10,5,0.519113130415,0.661988767243,0.938351180434,0.076552494999,0.00892222410075,-0.147426311271,-0.345134808197,0.88061240249,0.746286710027,0.134325692463,18,0.6,0.4,0.2
score_bo_l40_rp002_erp010__signal_3d_confirm__low20_minus_0_5atr,10,5,0.592569063369,0.709652889816,1.2563153479,0.0681038500019,-0.0434098951844,-0.137882279378,-0.312121673763,0.893120365368,0.982568523103,-0.0894481577352,39.5,0.8,0.4,0.2
score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,10,5,0.391136148128,0.47150752905,0.668226628555,0.0925505225485,0.0198230691712,-0.1340143221,-0.308190682669,0.868724564176,0.945817855104,-0.0770932909283,26.6666666667,0.6,0.6,0.4
score_bo_l40_rp002_erp015__signal_3d_confirm__low20,10,5,0.495064294142,0.661988767243,0.818106999071,0.080625436672,0.00892222410075,-0.143438584902,-0.326048526506,0.88061240249,0.746286710027,0.134325692463,18,0.8,0.4,0.2
score_bo_l40_rp002_erp015__signal_3d_confirm__low20_minus_0_5atr,10,5,0.56017460265,0.709652889816,1.0943430443,0.0735902173064,-0.0159780586619,-0.132920804118,-0.288160839943,0.893120365368,0.982568523103,-0.0894481577352,39.5,0.8,0.4,0.2
score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,10,5,0.387805308404,0.47150752905,0.653497895897,0.0931146378247,0.0198230691712,-0.133679861485,-0.307441421201,0.868724564176,0.945817855104,-0.0770932909283,26.6666666667,0.6,0.6,0.4
score_bo_l10_rm002_erp005__first_signal__low10,15,4,0.323211114667,0.203527212386,0.885790033897,0.0846088126263,0.0143737915258,-0.0737569613223,-0.161438204917,0.934772109124,0.95932741275,-0.0245553036262,63.5,0.75,0.75,0.5
score_bo_l10_rm002_erp010__first_signal__low10,15,4,0.29256762317,0.203697864017,0.762874764647,0.0885893973857,0.0298431810708,-0.0695630794849,-0.14358604077,0.937634075082,0.958327192784,-0.0206931177021,37,1,0.75,0.5
score_bo_l10_rm002_erp015__first_signal__low10,15,4,0.294806150745,0.202110211224,0.775004180531,0.0884213790796,0.0283166444541,-0.0692333989109,-0.142679094068,0.93748117316,0.945138153215,-0.00765698005548,63.5,1,0.75,0.5
score_bo_l10_rp000_erp005__first_signal__low10,15,4,0.323211114667,0.203527212386,0.885790033897,0.0846088126263,0.0143737915258,-0.0737569613223,-0.161438204917,0.934772109124,0.95932741275,-0.0245553036262,63.5,0.75,0.75,0.5
score_bo_l10_rp000_erp010__first_signal__low10,15,4,0.29256762317,0.203697864017,0.762874764647,0.0885893973857,0.0298431810708,-0.0695630794849,-0.14358604077,0.937634075082,0.958327192784,-0.0206931177021,37,1,0.75,0.5
