strategy_key,scenario_type,scenario_label,removed_observations,ending_equity,cagr,maximum_drawdown,cdar_95,sharpe_ratio,calmar_ratio,total_log_growth,best_day_log_contribution,best_day_contribution_ratio,best_5_days_log_contribution,best_5_days_contribution_ratio,best_10_days_log_contribution,best_10_days_contribution_ratio,best_month,best_month_log_contribution,best_month_contribution_ratio,top_3_months_log_contribution,top_3_months_contribution_ratio,best_calendar_year,best_year_log_contribution,best_year_contribution_ratio,top_2_years_log_contribution,top_2_years_contribution_ratio,worst_day_log_contribution,worst_day_contribution_ratio,worst_month,worst_month_log_contribution,worst_month_contribution_ratio,worst_calendar_year,worst_year_log_contribution,worst_year_contribution_ratio
score_bo_l10_rm002_erp005__first_signal__low10,baseline,observed,0,1212.46581611,0.0209868657787,-0.222397744698,-0.182765380148,0.271948527978,0.0943663606263,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,10:2017-10-11:2017-10-12:2017-10-13,2,1210.94698469,0.020916816186,-0.222397744698,-0.182765380148,0.270600938378,0.0940513862423,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,11:2017-10-16:2017-10-17:2017-10-18,2,1212.06369717,0.0210185985867,-0.222397744698,-0.182765380148,0.271678686847,0.0945090455625,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,12:2017-10-18:2017-10-19:2017-10-20,2,1211.90876722,0.0210044825446,-0.222397744698,-0.182765380148,0.271539865337,0.0944455735067,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,13:2017-10-20:2017-10-25:2017-10-27,5,1211.73733291,0.021016202368,-0.222397744698,-0.182765380148,0.271631776388,0.0944982710886,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,14:2017-10-27:2017-10-30:2017-10-31,2,1212.34839916,0.0210445342793,-0.222397744698,-0.182765380148,0.27197410051,0.0946256640679,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,15:2017-10-31:2017-11-01:2017-11-02,2,1210.68581192,0.020892999599,-0.222397744698,-0.182765380148,0.270346447623,0.0939442961858,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,16:2017-11-06:2017-11-15:2017-11-24,13,1210.67524736,0.0209921688683,-0.222397744698,-0.182869020897,0.27117282615,0.0943902056957,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,17:2017-11-24:2017-11-27:2017-11-28,2,1203.85286464,0.0202682629458,-0.222397744698,-0.182765380148,0.263768208585,0.0911352000143,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
score_bo_l10_rm002_erp005__first_signal__low10,leave_drawdown_episode_out,18:2017-11-28:2017-11-29:2017-11-30,2,1212.04192778,0.0210166152221,-0.222397744698,-0.182765380148,0.271681708432,0.0945001274657,0.192656150531,0.036917451801,0.191623530831,0.124502140832,0.646240156302,0.213161868611,1.10643687224,2023-01,0.065324758446,0.339074347048,0.180860412632,0.938773105004,2023,0.116289017313,0.603609160635,0.201333450021,1.04504034502,-0.0505870292098,-0.262576767315,2022-01,-0.0660964379261,-0.343079822492,2022,-0.175283502709,-0.909825625736
